team, Ewins, OddsWS
Dodgers, 103.5, 320
Braves, 101.5, 450,
Astros, 93.5, 700
Yankees, 91.5, 950
Phillies, 89.5, 1500
Orioles, 89.5, 1400
Rangers, 88.5, 1400
Mariners, 87.5, 2000
Twins, 87.5, 2100
Blue Jays, 86.5, 1800
Rays, 84.5, 3000
Cardinals, 84.5, 3000
Diamondbacks, 83.5, 4000
Cubs, 83.5, 3500
Padres, 83.5, 4800
Reds, 82.5, 5000
Giants, 81.5, 6000
Mets, 80.5, 5000
Tigers, 80.5, 7000
Guardians, 79.5, 6000
Marlins, 77.5, 9000
Red Sox, 77.5, 6000
Brewers, 76.5, 9000
Pirates, 75.5, 20000
Royals, 73.5, 15000
Angels, 72.5, 18000
Nationals, 66.5, 25000
White Sox, 60.5, 25000
Rockies, 59.5, 50000
Athletics, 57.5, 50000